"SALE_DT","STORE","SALES"
2019-01,Store_a,0
2019-02,Store_a,16553359.58
2019-03,Store_a,17956624.58
2019-04,Store_a,19440652.23
2019-05,Store_a,20677704.73
2019-06,Store_a,22229914.3
2019-07,Store_a,18611285.74
2019-08,Store_a,20327526.89
2019-09,Store_a,15926751.58
2019-10,Store_a,17770385.52
2019-11,Store_a,21222195.54
2019-12,Store_a,32811640.57
2020-01,Store_a,26358546.62
2020-02,Store_a,15699242.9
2020-03,Store_a,15937546.65
2020-04,Store_a,17473079.34
2020-05,Store_a,17514345.94
2020-06,Store_a,21513057.01
2020-07,Store_a,34684055.92
2020-08,Store_a,27617407.25
2020-09,Store_a,15652131.1
2020-10,Store_a,16101814.95
2020-11,Store_a,16536648.09
2020-12,Store_a,17691757.48
2021-01,Store_a,22338164.78
2021-02,Store_a,32778540.61
2021-03,Store_a,24998200.37
2021-04,Store_a,15676747.01
2021-05,Store_a,15694531.31
2021-06,Store_a,16376431.88
2021-07,Store_a,17499519.76
2021-08,Store_a,23423628.07
2021-09,Store_a,35036467.79
2021-10,Store_a,28062182.15
2021-11,Store_a,15753448.67
2021-12,Store_a,17422713.82
2022-01,Store_a,18746717.79
2022-02,Store_a,19445723.81
2022-03,Store_a,24530238.14
2022-04,Store_a,36415795.34
2022-05,Store_a,29631411.43
2022-06,Store_a,17105838.95
2022-07,Store_a,16643454.42
2022-08,Store_a,16854928.17
2022-09,Store_a,19436824.67
2022-10,Store_a,23614800.21
2022-11,Store_a,33145766.18
2022-12,Store_a,26707894

